,title,description,release_year,age_certification,runtime,genres,seasons,imdb_score,imdb_votes,name,character,role
58423,One Spring Night,"When Lee Jeong-in and Yu Ji-ho meet, something unexpected happens. Or it just may be that spring is in the air -- and anything is possible.",2019,,47,"['drama', 'romance']",1.0,7.9,2503.0,Han Ji-min,Lee Jung-in,ACTOR
58465,Designated Survivor: 60 Days,"An explosion at the National Assembly kills everyone in the cabinet, leaving Park Mu-jin, the Minister of Environment, to become the next president. Park Mu-jin is a scientist-turned-politician who has no ambitions in politics, but as the acting president for 60 days, he is compelled to investigate the truth behind the attack. Based on the popular American series, Designated Survivor.",2019,,74,"['war', 'thriller', 'drama']",1.0,8.1,1201.0,Park Keun-rok,Park Soo-gyo,ACTOR
58492,Cannon Busters,"With a maintenance robot and a deadly fugitive tagging along, friendship droid S.A.M searches for its best friend, the heir to a kingdom under siege.",2019,TV-MA,24,"['scifi', 'action', 'animation', 'fantasy']",1.0,6.7,1172.0,Yoshitsugu Matsuoka,Philly The Kid (voice),ACTOR
58493,Million Dollar Beach House,The competition is fierce — and the drama undeniable — as a group of young and hungry agents try to seal the deal on luxury listings in the Hamptons.,2020,TV-MA,28,['reality'],1.0,4.2,804.0,Peggy Zabakolas,,ACTOR
58566,Absurd Planet,"A cast of quirky critters and Mother Nature herself narrate this funny science series, which peeks into the lives of Earth's most incredible animals.",2020,TV-PG,20,['documentation'],1.0,3.9,1459.0,Afi Ekulona,Mother Nature,ACTOR
58569,My Husband Won't Fit,"Kumiko and Kenichi meet in college and build a happy marriage together. But over time, an unusual problem threatens to destroy their relationship.",2019,TV-MA,34,"['drama', 'romance']",1.0,6.7,798.0,Natsumi Ishibashi,Kumiko Watanabe,ACTOR
58595,When the Camellia Blooms,"A love story of the single-parent Dongbaek, the owner of Camellia Bar among a small neighborhood, who is also being the next murder target of a serial killer case.",2019,,55,"['comedy', 'drama', 'romance', 'thriller']",1.0,8.0,2371.0,Gong Hyo-jin,Dongbaek,ACTOR
58624,The Forest of Love: Deep Cut,Nothing's as it seems when a charismatic conman and an aspiring film crew delve into the lives of two emotionally scarred women.,2020,TV-MA,0,"['crime', 'horror', 'thriller', 'drama']",1.0,6.8,426.0,Kippei Shiina,Joe Murata,ACTOR
58674,revisions,"An isolated city. An unknown enemy. An uncertain past and a prophecy of the future. The children fight the ""future"" to bring back the ""present"". No matter what, they're going home...",2019,TV-MA,22,"['action', 'scifi', 'animation']",1.0,5.9,598.0,Nobunaga Shimazaki,Chang Gai Steiner,ACTOR
58734,The Prince of Tennis ~ Match! Tennis Juniors ~,A tennis whiz beats the odds to excel on the court while juggling school and inspiring teammates. Based on the hit manga series by Takeshi Konomi.,2019,TV-PG,45,"['drama', 'sport']",1.0,7.6,206.0,Zhang Yi Jie,Zhuo Zhi,ACTOR
58773,Ultramarine Magmell,"One day in the middle of the pacific ocean a miracle occurred, a new continent appeared out of nowhere! The new continent was the home for new and mysterious plants, creatures and minerals!

Humanity is excited as the age of exploration has returned.",2019,TV-14,24,"['action', 'fantasy', 'animation']",1.0,6.0,610.0,Kengo Kawanishi,Inyou,ACTOR
58938,Trial 4,"Charged as a teen in the 1993 killing of a Boston cop, Sean K. Ellis fights to prove his innocence while exposing police corruption and systemic racism.",2020,TV-MA,55,"['documentation', 'crime']",1.0,7.4,2039.0,Sean Ellis,Self,ACTOR
58947,Chocolate,"Brought together by meaningful meals in the past and present, a doctor and a chef are reacquainted when they begin working at a hospice ward.",2019,,46,['drama'],1.0,,,Ha Ji-won,Moon Cha-yeong,ACTOR
58954,The Search,"When a girl vanishes from a suburb near Mexico City, the personal goals of some involved in the case muddy the search. Based on a true story.",2020,,42,"['comedy', 'drama']",1.0,,,Regina Blandón,Carolina Tello,ACTOR
59013,The Victims' Game,"After discovering his estranged daughter's link to mysterious murders, a forensic detective with Asperger's syndrome risks everything to solve the case.",2020,,59,"['drama', 'thriller', 'crime']",1.0,7.3,1356.0,Joseph Chang,Fang Yi-Jen,ACTOR
59037,Examination of Conscience,"Allegations of child sexual abuse in Spain's Catholic institutions are examined in interviews with survivors, clergy, journalists and other experts.",2019,TV-MA,51,"['documentation', 'history', 'crime']",1.0,7.8,422.0,Albert Solé,,DIRECTOR
59038,Playing with Fire,Three prosperous women -- including a mother and her daughter -- fall for a seductive man in Colombia's Coffee Triangle.,2019,TV-14,43,['drama'],1.0,5.9,944.0,Yuri Vargas,Maricarmen,ACTOR
59058,Mystery Lab,"Host Felipe Castanhari explores science, history, mysteries and marvels, uncovering mind-blowing facts with help from his lab buddies.",2020,TV-PG,37,"['comedy', 'family', 'documentation', 'animation']",1.0,7.4,769.0,Felipe Castanhari,Himself - Host,ACTOR
59062,It's Bruno!,"An old-school Brooklyn native devotes his days to caring for his adorable dog, Bruno -- and making sure the neighbors show his pooch the proper respect.",2019,TV-MA,3,"['comedy', 'animation']",1.0,7.5,2886.0,Solvan Naim,Malcolm Bartello,ACTOR
59070,Spectros,A group of teenagers gets unintentionally involved in a conflict between Japanese Shinto ghosts and Brazilian witchcraft.,2020,TV-MA,44,['scifi'],1.0,,,Cláudia Okuno,,ACTOR
59094,Shadow,"Haunted by a tragic loss, an ex-cop with a rare inability to feel pain strikes out on his own to catch offenders who've eluded Johannesburg police.",2019,TV-MA,43,"['action', 'crime', 'drama', 'thriller']",1.0,6.6,956.0,Pallance Dladla,Shadow,ACTOR
59131,Rhythm + Flow,"In this music competition show, judges Tip “T.I.” Harris, Cardi B and Chance the Rapper hit the streets to find the next rap superstar.",2019,TV-MA,57,"['reality', 'music']",2.0,7.6,1541.0,Cardi B,Herself - Judge,ACTOR
59134,The 43,This docuseries disputes the Mexican government's account of how and why 43 students from Ayotzinapa Rural Teachers' College vanished in Iguala in 2014.,2019,TV-MA,56,"['documentation', 'war']",1.0,7.1,140.0,Paco Ignacio Taibo II,Himself,ACTOR
59139,Yanxi Palace: Princess Adventures,A determined Qing dynasty princess contends with palace intrigue and a vendetta against her family while navigating the treacherous terrain of romance.,2019,,45,['drama'],1.0,,,Wang Herun,Princess Zhaohua,ACTOR
59175,Secreto bien guardado,"In 1940 Argentina, a Jewish 17-year-old on vacation with her family falls in love with a young Nazi lawyer staying at the same hotel.",2019,TV-MA,30,"['drama', 'romance']",1.0,4.9,188.0,Oriana Sabatini,,ACTOR
