,title,description,release_year,age_certification,runtime,genres,seasons,imdb_score,imdb_votes,name,character,role
21939,Lucifer,"Bored and unhappy as the Lord of Hell, Lucifer Morningstar abandoned his throne and retired to Los Angeles, where he has teamed up with LAPD detective Chloe Decker to take down criminals. But the longer he's away from the underworld, the greater the threat that the worst of humanity could escape.",2016,TV-14,47,"['scifi', 'crime', 'drama', 'fantasy']",6.0,8.1,308291.0,Tom Ellis,Lucifer Morningstar / Michael,ACTOR
21947,DC's Legends of Tomorrow,"When heroes alone are not enough ... the world needs legends. Having seen the future, one he will desperately try to prevent from happening, time-traveling rogue Rip Hunter is tasked with assembling a disparate group of both heroes and villains to confront an unstoppable threat — one in which not only is the planet at stake, but all of time itself. Can this ragtag team defeat an immortal threat unlike anything they have ever known?",2016,TV-14,42,"['scifi', 'action', 'drama']",7.0,6.8,101178.0,Caity Lotz,Sara Lance / White Canary,ACTOR
22042,The Magicians,"Brakebills University is a secret institution specializing in magic. There, amidst an unorthodox education of spellcasting, a group of twenty-something friends soon discover that a magical fantasy world they read about as children is all too real— and poses grave danger to humanity.",2015,TV-14,44,"['drama', 'scifi', 'fantasy']",5.0,7.6,49557.0,Olivia Taylor Dudley,Alice Quinn,ACTOR
22096,The OA,"Prairie Johnson, blind as a child, comes home to the community she grew up in with her sight restored. Some hail her a miracle, others a dangerous mystery, but Prairie won’t talk with the FBI or her parents about the seven years she went missing.",2016,TV-MA,55,"['scifi', 'drama', 'fantasy']",2.0,7.9,100911.0,Brit Marling,OA / Nina Azarova,ACTOR
22109,Kim's Convenience,"The funny, heartfelt story of The Kims, a Korean-Canadian family, running a convenience store in downtown Toronto. Mr. and Mrs. Kim ('Appa' and 'Umma') immigrated to Toronto in the '80s to set up shop near Regent Park and had two kids, Jung and Janet who are now young adults. However, when Jung was 16, he and Appa had a major falling out involving a physical fight, stolen money and Jung leaving home. Father and son have been estranged since.",2016,TV-14,22,['comedy'],5.0,8.3,16970.0,Paul Sun-Hyung Lee,Appa,ACTOR
22116,Sense8,"One gunshot, one death, one moment out of time that irrevocably links eight minds in disparate parts of the world, putting them in each other's lives, each other's secrets, and in terrible danger. Ordinary people suddenly reborn as ""Sensates.""",2015,TV-MA,62,"['scifi', 'thriller', 'drama']",2.0,8.2,151518.0,Miguel Ángel Silvestre,Lito Rodriguez,ACTOR
22308,Crashing,A comedy drama that crashes straight into the lives and loves of six twenty-something adults living together as Property Guardians in a disused hospital.,2016,TV-MA,30,"['comedy', 'european']",1.0,7.7,18546.0,Phoebe Waller-Bridge,Lulu,ACTOR
22315,Norsemen,"Norsemen is an epic and humorous drama series set in the Viking Age. The residents of an 8th-century Viking village experience political rivalry, social change and innovations that upend their culture and way of life.",2016,TV-MA,30,"['comedy', 'drama']",3.0,7.7,18040.0,Trond Fausa Aurvåg,Rufus,ACTOR
22397,Bloodline,"A dramatic thriller that explores the demons lurking beneath the surface of a contemporary American family. The Rayburns are hard-working pillars of their Florida Keys community. But when the black sheep son comes home for the 45th anniversary of his parents' hotel, he threatens to expose the Rayburns' dark secrets and shameful past, pushing his siblings to the limits of family loyalty.",2015,TV-MA,57,"['drama', 'thriller']",3.0,7.9,50028.0,Kyle Chandler,John Rayburn,ACTOR
22404,Slasher,"Thirty years ago, in the sleepy community of Waterbury, a killer known as “The Executioner” murdered Sarah Bennett's parents. Now Sarah and her husband Dylan have returned to town, only to find herself the centerpiece in a series of horrifying murders centered around the seven deadly sins.",2016,TV-MA,46,"['drama', 'horror', 'thriller', 'crime']",4.0,6.7,14071.0,Jeananne Goossen,Dr. Trinh,ACTOR
22434,Travelers,"Hundreds of years from now, the last surviving humans discover the means of sending consciousness back through time, directly into people in the 21st century. These ""travelers"" assume the lives of seemingly random people, while secretly working as teams to perform missions in order to save humanity from a terrible future.",2016,TV-MA,45,"['scifi', 'drama', 'thriller', 'crime']",3.0,8.0,54566.0,Eric McCormack,Grant MacLaren,ACTOR
22484,Narcos,A gritty chronicle of the war against Colombia's infamously violent and powerful drug cartels.,2015,TV-MA,52,"['drama', 'thriller', 'crime']",3.0,8.8,404486.0,Pedro Pascal,Javier Peña,ACTOR
22494,Miraculous: Tales of Ladybug & Cat Noir,"Normal high school kids by day, protectors of Paris by night! Miraculous follows the heroic adventures of Marinette and Adrien as they transform into Ladybug and Cat Noir and set out to capture akumas, creatures responsible for turning the people of Paris into villains. But neither hero knows the other’s true identity – or that they’re classmates!",2015,TV-Y7,22,"['family', 'fantasy', 'romance', 'animation', 'action']",4.0,7.7,10102.0,Annouck Hautbois,Marinette Dupain-Cheng / Ladybug (voice),ACTOR
22509,Designated Survivor,"Tom Kirkman, a low-level cabinet member is suddenly appointed President of the United States after a catastrophic attack during the State of the Union kills everyone above him in the Presidential line of succession.",2016,TV-PG,44,"['war', 'action', 'drama', 'thriller']",3.0,7.5,88019.0,Kiefer Sutherland,Tom Kirkman,ACTOR
22515,Leah Remini: Scientology and the Aftermath,"Leah Remini, along with high level former Scientology executives and Church members, explores individual accounts from ex-Church members and their families through meetings and interviews with Leah. Each episode features stories from former members whose lives have been affected by the Church's harmful practices, even well after they left the organization.",2016,TV-14,46,"['documentation', 'history']",3.0,9.0,5761.0,Leah Remini,Herself - Host,ACTOR
22517,Into the Badlands,"In a land controlled by feudal barons, a great warrior and a young boy embark on a journey across a dangerous land to find enlightenment. 

A genre-bending martial arts series very loosely based on the classic Chinese tale Journey to the West.",2015,TV-14,43,"['action', 'drama']",3.0,7.9,45628.0,Daniel Wu,Sunny,ACTOR
22524,iZombie,"A medical student who becomes a zombie joins a Coroner's Office in order to gain access to the brains she must reluctantly eat so that she can maintain her humanity. But every brain she eats, she also inherits their memories and must now solve their deaths with help from the Medical examiner and a police detective.",2015,TV-14,42,"['scifi', 'comedy', 'crime', 'drama', 'horror']",5.0,7.8,66488.0,Rose McIver,"Olivia ""Liv"" Moore",ACTOR
22531,Wynonna Earp,Wyatt Earp's great granddaughter Wynonna battles demons and other creatures with her unique abilities and a posse of dysfunctional allies - the only thing that can bring the paranormal to justice.,2016,TV-14,43,"['action', 'scifi', 'western', 'drama', 'fantasy', 'thriller']",4.0,7.3,22256.0,Melanie Scrofano,Wynonna Earp,ACTOR
22634,Dark Matter,"The six-person crew of a derelict spaceship awakens from stasis in the farthest reaches of space. Their memories wiped clean, they have no recollection of who they are or how they got on board. The only clue to their identities is a cargo bay full of weaponry and a destination: a remote mining colony that is about to become a war zone. With no idea whose side they are on, they face a deadly decision. Will these amnesiacs turn their backs on history, or will their pasts catch up with them?",2015,TV-14,43,"['scifi', 'drama', 'thriller', 'action']",3.0,7.5,41867.0,Joel Edgerton,Jason Dessen,ACTOR
22635,Scream: The TV Series,"What starts as a YouTube video going viral, soon leads to problems for the teenagers of Lakewood and serves as the catalyst for a murder that opens up a window to the town's troubled past. Everyone has secrets. Everyone tells lies. Everyone is fair game.",2015,TV-14,43,"['crime', 'horror', 'thriller', 'comedy', 'drama']",3.0,7.1,40082.0,RJ Cyler,Deion Elliot,ACTOR
22640,Versailles,"The story of a young Louis XIV on his journey to become the most powerful monarch in Europe, from his battles with the fronde through his development into the Sun King. Historical and fictional characters guide us in a world of betrayal and political maneuvering, revealing Versailles in all its glory and brutality.",2015,TV-MA,54,"['drama', 'history', 'romance', 'war', 'documentation', 'comedy', 'european']",3.0,7.9,16273.0,George Blagden,Louis XIV,ACTOR
22682,60 Days In,"An unprecedented look at life behind bars at Indiana's Clark County Jail as seven innocent volunteers are sent to live among its general population for 60 days without officers, fellow inmates, or staff knowing their secret.",2016,TV-14,46,['reality'],6.0,7.6,2616.0,Isaiah,Himself,ACTOR
22750,Supergirl,"Twenty-four-year-old Kara Zor-El, who was taken in by the Danvers family when she was 13 after being sent away from Krypton, must learn to embrace her powers after previously hiding them. The Danvers teach her to be careful with her powers, until she has to reveal them during an unexpected disaster, setting her on her journey of heroism.",2015,TV-14,42,"['scifi', 'drama', 'action']",6.0,6.2,121939.0,Melissa Benoist,Kara Danvers / Supergirl / Kara Zor-El,ACTOR
22760,Crazy Ex-Girlfriend,"Rebecca Bunch is a successful, driven, and possibly crazy young woman who impulsively gives up everything - her partnership at a prestigious law firm and her upscale apartment in Manhattan - in a desperate attempt to find love and happiness in that exotic hotbed of romance and adventure: suburban West Covina, California.",2015,TV-14,42,['comedy'],4.0,7.8,19738.0,Rachel Bloom,Rebecca Bunch,ACTOR
22788,Medici: Masters of Florence,"The story of the Medici family of Florence, their ascent from simple merchants to power brokers sparking an economic and cultural revolution. Along the way, they also accrue a long list of powerful enemies.",2016,TV-14,54,"['war', 'drama', 'history', 'romance', 'thriller', 'european']",3.0,7.9,18575.0,Daniel Sharman,Lorenzo de' Medici,ACTOR
22798,PJ Masks,"Connor, Greg and Amaya are normal kids by day, but at night they activate their bracelets, which link into their pajamas and give them fantastic super powers, turning them into their alternate identities: The PJ Masks. The team consists of Catboy (Connor), Gekko (Greg) and Owelette (Amaya). Together, they go on adventures, solve mysteries, and learn valuable lessons.",2015,TV-G,15,"['animation', 'family', 'fantasy', 'scifi', 'action', 'european']",5.0,5.4,1214.0,Jacob Ewaniuk,Conner / Cat Boy (voice),ACTOR
22802,Marcella,"Marcella is shocked to the core of her being when her husband Jason leaves her unexpectedly, confessing he no longer loves her. Heartbroken, Marcella returns to the Met’s Murder Squad. Ten years ago Marcella gave up her fast-tracked police career to marry and devote her life to her family. With the abrupt end to her marriage and isolated from her 13 year old daughter and 10 year old son, Marcella throws herself into work to stop herself from falling apart.",2016,TV-MA,45,"['crime', 'drama', 'european']",3.0,7.4,30373.0,Anna Friel,Marcella Backland,ACTOR
22884,Bordertown,"The story of DI Kari Sorjonen of the Serious Crime Unit in Lappeenranta, his family, and his investigations into a variety of harrowing homicides around the border area.",2016,TV-MA,59,"['drama', 'crime', 'european']",3.0,7.6,10371.0,Ville Virtanen,Kari Sorjonen,ACTOR
22895,Fauda,"A top Israeli agent comes out of retirement to hunt for a Palestinian militant he thought he'd killed, setting a chaotic chain of events into motion.",2015,TV-MA,40,"['war', 'thriller', 'action', 'drama']",3.0,8.3,25239.0,Lior Raz,Doron Kavillio,ACTOR
22973,El marginal,An ex-cop entered a prison as convicted under a false identity in order to infiltrate within a group of prisoners that has just kidnapped the teenage daughter of an important national judge.,2016,TV-MA,54,"['crime', 'drama', 'action', 'thriller']",5.0,8.2,3799.0,Martina Gusman,Emma,ACTOR
22980,Frontier,"The chaotic and violent struggle to control wealth and power in the North American fur trade in late 18th century Canada. Told from multiple perspectives, Frontier takes place in a world where business negotiations might be resolved with close-quarter hatchet fights, and where delicate relations between native tribes and Europeans can spark bloody conflicts.",2016,TV-MA,46,"['action', 'drama', 'history']",3.0,7.1,20706.0,Jason Momoa,Declan Harp,ACTOR
23015,The Cuba Libre Story,"Recounts the tumultuous history of Cuba, a nation of foreign conquest, freedom fighters and Cold War political machinations.",2015,TV-14,45,"['documentation', 'history', 'european']",2.0,7.6,1583.0,Ken Eaken,Narrator (voice),ACTOR
23025,ERASED,"Satoru Fujinuma is a struggling manga artist who has the ability to turn back time and prevent deaths. When his mother is killed he turns back time to solve the mystery, but ends up back in elementary school, just before the disappearance of his classmate Kayo.",2016,TV-14,22,"['drama', 'animation', 'fantasy', 'scifi', 'thriller']",1.0,8.5,42699.0,Shinnosuke Mitsushima,29-year-old Satoru Fujinuma (voice),ACTOR
23036,Flowers,Dark comedy about the eccentric members of the Flowers family. Maurice and Deborah are barely together but yet to divorce. They live with Maurice's batty mother and their maladjusted twin children.,2016,TV-14,25,"['drama', 'comedy', 'european']",2.0,8.1,5468.0,Olivia Colman,Deborah Flowers,ACTOR
23084,Love,Rebellious Mickey and good-natured Gus navigate the thrills and agonies of modern relationships.,2016,TV-MA,32,"['drama', 'comedy', 'romance']",3.0,7.7,41362.0,Gillian Jacobs,Mickey Dobbs,ACTOR
23113,Good Witch,"Cassie Nightingale, Middleton’s favorite enchantress, and her young-teenage daughter Grace, who shares that same special intuition as her mom, welcome Dr. Sam Radford and his son to town. When the New York transplants move in next to the Grey House, they are immediately spellbound by the mother-daughter duo next door, but Sam and Cassie quickly find they may not see eye to eye. With her signature charm, Cassie attempts to bring everyone together, ensuring all of Middleton is in for new changes, big surprises and, of course, a little bit of magic!

""Good Witch” is based on Bell’s beloved character Cassie, the raven-haired enchantress who kept audiences spellbound for seven installments of Hallmark Channel's longest-running and highest-rated original movie franchise of all time.",2015,TV-G,43,"['scifi', 'comedy', 'drama', 'fantasy']",7.0,7.2,10392.0,Catherine Bell,Cassie Nightingale,ACTOR
23118,The Ranch,"Being a pro athlete didn't pan out for Colt. Now he's helping his dad and brother keep the ranch afloat, and figuring out how he fits into the family.",2016,TV-MA,30,"['comedy', 'drama', 'western']",5.0,7.4,37890.0,Ashton Kutcher,Colt,ACTOR
23124,Paranoid,"The murder of a female GP in a rural playground in front of numerous witnesses draws a group of detectives into an ever-darkening mystery that takes them across Europe, aided by mysterious notes sent by the ""Ghost Detective"".",2016,,44,"['crime', 'thriller', 'drama', 'european']",1.0,6.7,8343.0,Indira Varma,Nina Suresh,ACTOR
23144,Wet Hot American Summer: First Day of Camp,"It's the first day of camp in this outrageous prequel to the hilarious 2001 cult classic movie. And at Camp Firewood, anything can happen.",2015,TV-MA,30,['comedy'],2.0,7.4,23674.0,Janeane Garofalo,Beth,ACTOR
23168,Shooter,Bob Lee Swagger is an expert marksman living in exile who is coaxed back into action after learning of a plot to kill the president.,2016,TV-14,41,"['war', 'drama', 'action']",3.0,7.5,35547.0,Ryan Phillippe,Bob Lee Swagger,ACTOR
23219,Hap and Leonard,"A darkly comic swamp noir story of two best friends set in the late 1980s. Based on the novels by Joe R. Lansdale, the series follows Hap Collins, an East Texas white boy with a weakness for Southern women, and Leonard Pine, a gay, black Vietnam vet with a hot temper.",2016,TV-MA,42,"['action', 'drama', 'crime', 'thriller']",3.0,7.6,7577.0,James Purefoy,Hap Collins,ACTOR
23222,Glitch,A police officer and a doctor face an emotionally charged mystery when seven local residents inexplicably return from the dead in peak physical form.,2015,TV-MA,52,"['scifi', 'drama', 'horror', 'thriller']",3.0,7.3,17240.0,Patrick Brammall,James Hayes,ACTOR
23233,Occupied,"In the near future, Norway is occupied by Russia on behalf of the European Union, due to the fact that the newly elected environmental friendly Norwegian government has stopped the all important oil- and gas-production in the North Sea.",2015,TV-MA,45,"['war', 'thriller', 'drama']",3.0,7.7,8839.0,Henrik Mestad,Jesper Berg,ACTOR
23251,Master of None,"30-year-old New York actor Dev takes on such pillars of maturity as the first big job, a serious relationship, and busting sex offenders on the subway.",2015,TV-MA,32,"['drama', 'comedy']",3.0,8.3,72341.0,Lena Waithe,Denise,ACTOR
23253,Unbreakable Kimmy Schmidt,"When a woman is rescued from a doomsday cult and lands in New York City, she must navigate a world she didn’t think even existed anymore.",2015,TV-14,30,"['comedy', 'drama']",4.0,7.6,70242.0,Ellie Kemper,Kimmy Schmidt,ACTOR
23272,Secret City,"Beneath the placid facade of Canberra, amidst rising tension between China and America, senior political journalist Harriet Dunkley uncovers a secret city of interlocked conspiracies, putting innocent lives in danger including her own.",2016,TV-MA,50,"['war', 'thriller']",3.0,7.4,7831.0,Anna Torv,Harriet Dunkley,ACTOR
23357,Fuller House,"D.J. Tanner-Fuller is a widow and mother of three. Things become too much to handle, so she asks for help from her sister Stephanie and her best-friend Kimmy.",2016,TV-Y7,27,"['comedy', 'family']",5.0,6.7,27148.0,Jodie Sweetin,Stephanie Tanner,ACTOR
23364,Easy,"This eclectic, star-studded anthology follows diverse Chicagoans fumbling through the modern maze of love, sex, technology and culture. First dates, friends with benefits, couples with kids. Whatever your relationship status is, it's always complicated.",2016,TV-MA,30,"['drama', 'comedy']",3.0,6.9,13569.0,Joe Swanberg,,DIRECTOR
23365,3%,"In a future where the elite inhabit an island paradise far from the crowded slums, you get one chance to join the 3% saved from squalor.",2016,TV-MA,45,"['scifi', 'action', 'drama', 'thriller']",4.0,7.3,25077.0,Bianca Comparato,Michele Santana,ACTOR
23369,Making a Murderer,"Filmed over 10 years, this real-life thriller follows a DNA exoneree who, while exposing police corruption, becomes a suspect in a grisly new crime.",2015,TV-14,62,"['crime', 'documentation']",2.0,8.6,93456.0,Kathleen Zellner,Herself,ACTOR
23455,BUNK'D,"Siblings Emma, Ravi, and Zuri Ross leave their extravagant New York City penthouse once again to return to Camp Kikiwaka, a rustic summer camp in Maine where their parents met as teenagers.",2015,TV-G,24,"['comedy', 'family', 'drama']",5.0,5.3,3174.0,Miranda May,Lou,ACTOR
23462,Quantico,"A diverse group of recruits has arrived at the FBI Quantico Base for training. They are the best, the brightest and the most vetted, so it seems impossible that one of them is suspected of masterminding the biggest attack on New York City since 9/11.",2015,TV-14,43,"['drama', 'thriller', 'crime']",3.0,6.6,60305.0,Priyanka Chopra Jonas,Alex Parrish,ACTOR
23488,F is for Family,"Follow the Murphy family back to the 1970s, when kids roamed wild, beer flowed freely and nothing came between a man and his TV.",2015,TV-MA,28,"['comedy', 'animation', 'drama']",5.0,8.0,36050.0,Bill Burr,Frank Murphy (voice),ACTOR
23527,Locked Up,"Set up to take the blame for corporate fraud, young Macarena Ferreiro is locked up in a high-security women's prison surrounded by tough, ruthless criminals in this tense, provocative Spanish thriller.",2015,TV-MA,50,"['drama', 'thriller', 'action', 'comedy', 'european']",4.0,8.2,21388.0,Najwa Nimri,Zulema Zahir,ACTOR
23673,Zoo,"Set amidst a wave of violent animal attacks sweeping across the planet, a young renegade scientist is thrust into a race to unlock the mystery behind this pandemic before time runs out for animals and humans alike.",2015,TV-14,43,"['drama', 'thriller', 'scifi']",3.0,6.6,24479.0,James Wolk,Jackson Oz,ACTOR
23771,Ajin,"17 years ago, immortals first appeared on the battlefields of Africa. Later, rare, unknown new immortal lifeforms began appearing among humans, and they became known as ""Ajin"" (demi-humans). Just before summer vacation, a Japanese high school student is instantly killed in a traffic accident on his way home from school. However, he is revived, and a price is placed on his head. Thus begins a boy's life on the run from all of humankind.",2016,TV-MA,24,"['action', 'animation', 'drama', 'fantasy', 'thriller', 'horror', 'scifi']",2.0,7.6,6121.0,Mamoru Miyano,Kei Nagai (voice),ACTOR
23829,Frequency,"Detective Raimy Sullivan is stunned when a voice suddenly crackles through her father’s old, long-broken ham radio – it’s Frank Sullivan, somehow transmitting over the airwaves and through the decades from 1996. Separated by twenty years, father and daughter have reunited on a frequency only they can hear, but can they rewrite the story of their lives without risking everyone they love?",2016,TV-14,18,"['scifi', 'fantasy', 'thriller', 'drama']",3.0,7.5,13625.0,Peyton List,Raimy Sullivan,ACTOR
23854,Wanted,"Two complete strangers, Lola and Chelsea, intervene in a fatal carjacking while waiting at a suburban bus stop, and are subsequently thrust into a chase from authorities across Australia with a vehicle filled with cash. The strangers must rely solely on each other while on the run.",2016,TV-14,45,"['drama', 'action', 'crime']",3.0,7.6,5693.0,Rebecca Gibney,Lola Buckley,ACTOR
23860,Aquarius,"In the late 1960s, a Los Angeles police sergeant with a complicated personal life starts tracking a small-time criminal and budding cult leader seeking out vulnerable women to join his “cause.” The name of that man is Charles Manson.",2015,TV-14,43,"['drama', 'crime', 'thriller', 'european']",2.0,7.1,12112.0,David Duchovny,Detective Sam Hodiak,ACTOR
23874,Roman Empire,"This stylish mix of documentary and historical epic chronicles the reign of Commodus, the emperor whose rule marked the beginning of Rome's fall.",2016,TV-14,48,"['drama', 'history', 'war', 'documentation']",3.0,7.0,7539.0,Sean Bean,Narrator,ACTOR
23913,Degrassi: Next Class,"Follow a group of high school freshmen, sophomores, juniors, and seniors from Degrassi Community School, a fictional school in Toronto, Ontario, as they encounter some of the typical issues and challenges common to a teenager's life.",2016,TV-PG,24,"['drama', 'romance']",6.0,6.8,3205.0,Eric Osborne,Miles Hollingsworth III,ACTOR
23954,The Disastrous Life of Saiki K.,"Gifted with a wide assortment of supernatural abilities ranging from telepathy to x-ray vision, Kusuo Saiki finds this so-called blessing to be nothing but a curse. As all the inconveniences his powers cause constantly pile up, all Kusuo aims for is an ordinary, hassle-free life—a life where ignorance is bliss.",2016,TV-14,10,"['scifi', 'comedy', 'animation', 'fantasy']",3.0,8.4,6649.0,Hiroshi Kamiya,Saiki Kusuo (voice),ACTOR
23968,Mobile Suit Gundam: Iron-Blooded Orphans,"When Mikazuki Augus, a young member of a private security company known as the CGS, accepts a mission to protect a young woman seeking to liberate the Martian city of Chryse from Earth’s rule, he sets off a chain of events that threatens to send the galaxy back to war.",2015,TV-MA,24,"['scifi', 'war', 'action', 'drama', 'animation']",2.0,7.9,1623.0,Kengo Kawanishi,Mikazuki Augus (voice),ACTOR
24065,Trollhunters: Tales of Arcadia,"After uncovering a mysterious amulet, an average teen assumes an unlikely destiny and sets out to save two worlds.",2016,TV-Y7,22,"['action', 'scifi', 'fantasy', 'animation', 'comedy', 'drama', 'family']",3.0,8.4,16509.0,Lexi Medrano,Claire Nuñez (voice),ACTOR
24093,March Comes in Like a Lion,"Rei is a 17-year old professional shōgi player, who lives by himself, not having a real family, and has scarcely any friends. Among his acquaintances is a family, which consists of a young woman, Akari, and two young girls, Hinata and Momo, and who also keep a numerous number of cats.",2016,TV-PG,25,"['drama', 'animation', 'comedy', 'romance']",2.0,8.4,2586.0,Kengo Kawanishi,Rei Kiriyama (voice),ACTOR
24200,God Eater,"In the early 2050s, unknown life forms called “Oracle cells” begin their uncontrolled consumption of all life on Earth. Their ravenous appetite and remarkable adaptability earn them first dread, then awe, and finally the name “aragami”. In the face of an enemy completely immune to conventional weapons, urban civilization collapses, and each day humanity is driven further and further toward extinction. One single ray of hope remains for humanity. Following the development of “God Arcs”—living weapons which incorporate Oracle cells—their wielders are organized into an elite force.",2015,TV-14,23,"['scifi', 'animation', 'action']",1.0,7.0,1911.0,Ryuichi Kijima,Lenka Utsugi (voice),ACTOR
24263,Gilmore Girls: A Year in the Life,"Set nearly a decade after the finale of the original series, this revival follows Lorelai, Rory and Emily Gilmore through four seasons of change.",2016,TV-14,92,"['comedy', 'drama']",1.0,7.6,36359.0,Lauren Graham,Lorelai Gilmore,ACTOR
24299,Rebellion,"A group of young men and women in Dublin in 1916 are embroiled in a fight for independence during the Easter Rising. The story begins with the outbreak of World War I. As expectations of a short and glorious campaign are dashed, social stability is eroded and Irish nationalism comes to the fore. The tumultuous events that follow are seen through the eyes of a group of friends from Dublin, Belfast and London as they play vital and conflicting roles in the narrative of Ireland's independence.",2016,TV-14,51,"['war', 'drama', 'history', 'european']",2.0,7.1,3658.0,Charlie Murphy,Elizabeth Butler,ACTOR
24346,The Windsors,Comedy soap opera re-imagining the lives of the British Royal Family as you have never seen them before.,2016,TV-MA,27,['comedy'],3.0,7.1,2648.0,Harry Enfield,Prince Charles,ACTOR
24373,Hip Hop Evolution,"Hip-Hop today is a global culture that has changed music, dance, fashion, language —and even politics. But where did this worldwide cultural movement begin? We trace hip-hop back to its humble beginnings, when the kids of the Bronx crammed into house parties, rec rooms, and public parks to hear music like they’d never heard it before.",2016,TV-MA,48,"['documentation', 'music']",4.0,8.4,5772.0,Afrika Bambaataa,Himself,ACTOR
24378,The Get Down,"In 1977 New York City, the talented and soulful youth of the South Bronx chase dreams and breakneck beats to transform music history.",2016,TV-MA,62,"['drama', 'music']",2.0,8.2,22304.0,Justice Smith,Ezekiel Figuero,ACTOR
24406,Dragons: Race to the Edge,"Unlock the secrets of the Dragon Eye and come face to face with more dragons than anyone has ever imagined as Hiccup, Toothless and the Dragon Riders soar to the edge of adventure.",2015,TV-Y7,22,"['animation', 'action', 'scifi', 'family', 'comedy', 'drama', 'fantasy']",6.0,8.2,6161.0,Jay Baruchel,Hiccup (voice),ACTOR
24542,Flaked,"In his funky California beach enclave, Chip's the go-to guy for personal insights. But he isn't quite as enlightened when it comes to his own baggage.",2016,TV-MA,32,"['drama', 'romance', 'comedy']",2.0,7.2,11264.0,Will Arnett,Chip,ACTOR
24546,A Very Secret Service,"At the height of the Cold War in 1960, André Merlaux joins the French Secret Service and contends with enemies both foreign and bureaucratic.",2015,TV-MA,27,"['comedy', 'european']",2.0,7.7,3461.0,Baptiste Sornin,Employé à l'accueil,ACTOR
24559,Voltron: Legendary Defender,Five unlikely teenage heroes and their flying robot lions unite to form the megapowerful Voltron and defend the universe from evil.,2016,TV-Y7,24,"['action', 'scifi', 'animation', 'comedy', 'drama', 'family', 'fantasy']",8.0,8.1,8706.0,Jeremy Shada,Lance (voice),ACTOR
24568,Transformers: Robots In Disguise,"Years after the events of Predacons Rising, Bumblebee is summoned back to Earth to battle several of Cybertron's most wanted Decepticons that escaped from a crashed prison ship and assembles a team of young Autobots that includes Sideswipe (a rebel ""bad boy bot""), Strongarm (an Elite Guard cadet), Grimlock (a bombastic Dinobot), and Fixit (a hyperactive Mini-Con with faulty wiring).",2015,TV-Y7,21,"['scifi', 'animation', 'action', 'comedy']",5.0,6.0,1048.0,Will Friedle,Bumblebee (voice),ACTOR
24593,Crazyhead,Amy and Raquel attempt to navigate their way through the choppy waters of their early twenties whilst simultaneously kicking the ass of some seriously gnarly demons. What could possibly go wrong?,2016,,43,"['comedy', 'horror', 'scifi', 'european']",1.0,7.2,4985.0,Cara Theobold,Amy,ACTOR
24600,Lady Dynamite,"A single-camera half-hour comedy based on what Maria Bamford has accepted to be ""her life."" It's the sometimes surreal story of a woman who loses — and then finds — her s**t.",2016,TV-MA,30,"['comedy', 'drama']",2.0,7.3,3655.0,Maria Bamford,Maria Bamford,ACTOR
24606,No Tomorrow,"When a risk-averse, straight-arrowed, female procurement manager at an Amazon-like distribution center falls in love with a free-spirited man who lives life to the fullest because he believes the apocalypse is imminent, they embark on a quest together to fulfill their individual bucket lists, with comedic and poignant results.",2016,TV-14,47,"['comedy', 'drama', 'romance', 'thriller']",1.0,7.3,5101.0,Tori Anderson,Evie,ACTOR
24641,Greenleaf,"The unscrupulous world of the Greenleaf family and their sprawling Memphis megachurch, where scandalous secrets and lies are as numerous as the faithful. Born of the church, the Greenleaf family love and care for each other, but beneath the surface lies a den of iniquity—greed, adultery, sibling rivalry and conflicting values—that threatens to tear apart the very core of their faith that holds them together.",2016,TV-MA,42,['drama'],5.0,7.3,5158.0,Lynn Whitfield,Lady Mae Greenleaf,ACTOR
24649,Grizzy & the Lemmings,"The forest ranger's house is the only area of human civilization in the middle of untamed wilderness in a vast natural reserve in Canada. When the ranger is away, a bear named Grizzy feels that the ranger's house is his territory, given that bears sit at the top of the food chain. After making his way inside the home, Grizzy takes advantage of all the modern conveniences there, including a comfortable sofa, air conditioning and fully equipped kitchen. He's not alone, though, because a group of small creatures called lemmings also populate the ranger's house when he is away. Because Grizzy and the lemmings are not civilized enough to live together in peace, it becomes an atmosphere of madness when the two sides try to outdo each other with tricks.",2016,TV-Y7,7,"['comedy', 'animation', 'family', 'european']",3.0,7.1,579.0,Pierre-Alain de Garrigues,Grizzy,ACTOR
24936,Zumbo's Just Desserts,Australia’s very own Willy Wonka Adriano Zumbo and acclaimed British chef Rachel Khoo go in search of Australia’s sweetest home cooks. Amateur dessert makers from around the country will put their sweet baking skills to the test until the ultimate dessert king or queen is crowned.,2016,TV-14,52,['reality'],2.0,6.9,2125.0,Adriano Zumbo,Himself (Judge),ACTOR
24939,The Letdown,"Audrey is determined not to be defined by motherhood. In theory, this seems fairly easy. In practice, her career-focused husband, self-obsessed mother & fancy-free best friend, make it damn near impossible.",2016,,30,['comedy'],2.0,7.5,3253.0,Alison Bell,Audrey,ACTOR
24947,Case,A dramatic thriller about a broken lawyer who seeks redemption through his investigation into the suspicious suicide of a teenage ballet prodigy.,2015,,46,"['crime', 'drama', 'thriller']",1.0,7.0,2688.0,Magnús Jónsson,Logi,ACTOR
